round_epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,lr,decay,momentum,batch_size
100,0.007083403097343841,0.9627932,0.008040290296314255,0.95223665,0.010000000000000002,7.900000000000001e-05,0.945,110
100,0.007521604052767146,0.960661,0.008018100108231672,0.9532468,0.011000000000000001,8.1e-05,0.945,113
100,0.007155177432827932,0.9628998,0.007963125246562182,0.95295817,0.011000000000000001,8.1e-05,0.945,110
100,0.006955959493931126,0.9644634,0.00788552860640699,0.9544733,0.010000000000000002,8.1e-05,0.945,110
100,0.007091714898923606,0.96325517,0.007702569939225676,0.9556277,0.011000000000000001,8e-05,0.945,110
100,0.007622638805246467,0.959737,0.008324791836212314,0.95180374,0.012,7.900000000000001e-05,0.945,110
100,0.007243662319518758,0.96257997,0.00793743102621787,0.9531746,0.011000000000000001,8.1e-05,0.945,107
100,0.007540127292884618,0.9620114,0.008081825878598807,0.9534632,0.011000000000000001,7.900000000000001e-05,0.945,113
100,0.00755951404063509,0.96076757,0.00814344302736341,0.95238096,0.010000000000000002,7.900000000000001e-05,0.945,113
100,0.007187164211864157,0.9619403,0.007940008160879924,0.9530303,0.012,8e-05,0.945,110
100,0.007182445962046715,0.9628287,0.0077291545769922745,0.9546176,0.012,8e-05,0.945,107
100,0.007405323564287079,0.9615494,0.007825196272267559,0.9533189,0.012,8.1e-05,0.945,107
100,0.007368152385147973,0.96140724,0.007978503805740425,0.9530303,0.012,7.900000000000001e-05,0.945,107
100,0.007836634084435485,0.9584222,0.008280031400961832,0.9512987,0.012,7.900000000000001e-05,0.945,113
100,0.007199959770770374,0.962651,0.008187089420160922,0.9503608,0.010000000000000002,8e-05,0.945,107
100,0.007110230851909026,0.9641791,0.007954631479252749,0.9539682,0.011000000000000001,8e-05,0.945,107
100,0.007668913747774743,0.9599858,0.008246917528665422,0.9510822,0.010000000000000002,8.1e-05,0.945,113
100,0.007106034178154407,0.96321964,0.007931287803258451,0.9537518,0.012,8.1e-05,0.945,110
100,0.006928968564828946,0.9643568,0.008050229574095399,0.95468974,0.010000000000000002,8e-05,0.945,110
100,0.007885960272921823,0.95831555,0.008228071166177563,0.9517316,0.012,8e-05,0.945,113
100,0.007762785429828658,0.96055436,0.008325773290886636,0.9511544,0.012,8.1e-05,0.945,113
100,0.007320022871158487,0.96236676,0.007939915449935057,0.9530303,0.011000000000000001,7.900000000000001e-05,0.945,110
100,0.0071873932565400585,0.96275765,0.008009497166112668,0.95252526,0.010000000000000002,8.1e-05,0.945,107
100,0.007052951669408169,0.9637171,0.008020677052950285,0.9524531,0.010000000000000002,7.900000000000001e-05,0.945,107
100,0.007332869115516917,0.9627221,0.008078080060650576,0.95238096,0.011000000000000001,8e-05,0.945,113
100,0.007174042027805056,0.96318406,0.008229419111403869,0.95122653,0.011000000000000001,7.900000000000001e-05,0.945,107
100,0.007931074392432846,0.95828,0.00860051275702989,0.9503608,0.010000000000000002,8e-05,0.945,113
