round_epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,lr,decay,momentum,batch_size
8,0.02071377045528562,0.8898721,0.016811584551183003,0.90526694,0.011,0.00012,0.95,110
8,0.020760075015088048,0.8895167,0.016136370095307436,0.90945166,0.01,8e-05,0.95,100
8,0.02061803005840934,0.8925373,0.01655664172999206,0.90873015,0.01,0.00012,0.95,110
8,0.019981511935059513,0.894172,0.016133626862489557,0.9102453,0.011,0.00012,0.95,90
8,0.02103039069470566,0.8892324,0.016609587880324513,0.9062049,0.01,8e-05,0.95,110
8,0.02105346732285051,0.8887349,0.017051848967278762,0.904329,0.01,0.0001,0.95,110
8,0.021616781999535102,0.8904051,0.0171806006101034,0.90577203,0.01,8e-05,0.94,110
8,0.02210271929462878,0.88692254,0.0169196257678171,0.9050505,0.009000000000000001,8e-05,0.94,110
8,0.021861409870397985,0.8897299,0.017311809621455652,0.9047619,0.009000000000000001,8e-05,0.95,110
8,0.021459670666560224,0.8840085,0.016871479446065717,0.90281385,0.011,0.0001,0.945,100
8,0.021233713632951245,0.89363897,0.0171194945208051,0.9075758,0.009000000000000001,8e-05,0.95,100
8,0.020691469040326642,0.8923596,0.01656528271084267,0.9082251,0.011,0.00012,0.945,100
8,0.02153659245765794,0.8857143,0.01677543804799388,0.9096681,0.009000000000000001,0.0001,0.945,90
8,0.021328757680534216,0.89093816,0.01699091743175236,0.90598845,0.01,0.0001,0.945,110
8,0.02183294587377419,0.8898721,0.017266740882702032,0.90598845,0.009000000000000001,0.0001,0.94,100
8,0.02155869680125195,0.887882,0.01676435200672215,0.9039683,0.01,0.00012,0.945,100
8,0.020559857610689892,0.893248,0.016783607199057013,0.9039683,0.01,0.0001,0.95,100
8,0.021047115214725038,0.8890192,0.016969825776796493,0.90223664,0.01,0.0001,0.945,100
8,0.021022899825305974,0.8918977,0.017007375254280983,0.9037518,0.01,8e-05,0.945,110
8,0.021254369126885664,0.88983655,0.016590023036336617,0.9073593,0.011,0.0001,0.95,110
8,0.02059079320305679,0.8921109,0.016281834063032834,0.90880233,0.011,8e-05,0.95,100
8,0.021054039398498182,0.8885928,0.016285962890833616,0.9068543,0.01,0.00012,0.95,90
8,0.02148500660020003,0.89051175,0.01635800226501486,0.90772,0.009000000000000001,8e-05,0.945,100
8,0.0217007020959669,0.8900853,0.017404753988955444,0.9067821,0.01,8e-05,0.94,100
8,0.020616450855361502,0.89068943,0.01638616616656254,0.90598845,0.009000000000000001,0.00012,0.95,90
8,0.020869054059102846,0.89111584,0.01680425342244955,0.90772,0.009000000000000001,8e-05,0.95,90
8,0.021550363371202984,0.8871002,0.01671187656502875,0.90512264,0.009000000000000001,0.00012,0.945,100
8,0.021101760401310402,0.89033407,0.016562896053619887,0.9064935,0.009000000000000001,0.00012,0.95,100
